id;txRemplacementNetEuroConstant;avantDerniereRemuNetteTotaleAnnuellePositiveEurosConstants
Cas 1 gen 1960 ageLiq 64;0,506146549;83606,64315
Cas 1 gen 1980 ageLiq 64;0,428274395;99809,71511
Cas 1 gen 1981 ageLiq 64;0,425449429;100809,3611
Cas 1 gen 1982 ageLiq 64;0,422769959;101819,6963
Cas 1 gen 1983 ageLiq 64;0,420417626;102840,4584
Cas 1 gen 1984 ageLiq 64;0,418143238;103872,0519
Cas 1 gen 1985 ageLiq 64;0,416013709;104914,2898
Cas 1 gen 1986 ageLiq 64;0,414119061;105967,4925
Cas 1 gen 1987 ageLiq 64;0,412505126;107030,9345
Cas 1 gen 1988 ageLiq 64;0,410931439;108106,0796
Cas 1 gen 1989 ageLiq 64;0,409483593;109191,1481
Cas 1 gen 1990 ageLiq 64;0,408132238;110288,0761
Cas 1 gen 1991 ageLiq 64;0,4069732;111395,7142
Cas 1 gen 1992 ageLiq 64;0,411509267;112513,4618
Cas 1 gen 1993 ageLiq 64;0,410691733;113642,8997
Cas 1 gen 1994 ageLiq 64;0,409848;114781,7238
Cas 1 gen 1995 ageLiq 64;0,409189653;115931,3161
Cas 1 gen 1996 ageLiq 64;0,408480095;117092,0593
Cas 1 gen 1997 ageLiq 64;0,40772123;118263,9884
Cas 1 gen 1998 ageLiq 64;0,407135923;119447,7864
Cas 1 gen 1999 ageLiq 64;0,406685492;120642,9276
Cas 1 gen 2000 ageLiq 64;0,406237642;121849,613
Cas 2 gen 1960 ageLiq 64;0,745579426;24207,54468
Cas 2 gen 1980 ageLiq 64;0,6492339;28900,69672
Cas 2 gen 1981 ageLiq 64;0,64574235;29190,17489
Cas 2 gen 1982 ageLiq 64;0,64283911;29483,0315
Cas 2 gen 1983 ageLiq 64;0,63975668;29778,90435
Cas 2 gen 1984 ageLiq 64;0,63724416;30077,07096
Cas 2 gen 1985 ageLiq 64;0,63468442;30379,00116
Cas 2 gen 1986 ageLiq 64;0,6325324;30683,49474
Cas 2 gen 1987 ageLiq 64;0,63068679;30991,3622
Cas 2 gen 1988 ageLiq 64;0,62929781;31303,27046
Cas 2 gen 1989 ageLiq 64;0,6281771;31617,39703
Cas 2 gen 1990 ageLiq 64;0,62687778;31934,5923
Cas 2 gen 1991 ageLiq 64;0,62594571;32255,46453
Cas 2 gen 1992 ageLiq 64;0,62494822;32578,84156
Cas 2 gen 1993 ageLiq 64;0,62387609;32906,3339
Cas 2 gen 1994 ageLiq 64;0,622954;33235,97436
Cas 2 gen 1995 ageLiq 64;0,62209745;33569,05988
Cas 2 gen 1996 ageLiq 64;0,62135643;33904,6284
Cas 2 gen 1997 ageLiq 64;0,62056216;34244,45559
Cas 2 gen 1998 ageLiq 64;0,62001596;34586,641
Cas 2 gen 1999 ageLiq 64;0,61945105;34932,90248
Cas 2 gen 2000 ageLiq 64;0,61887678;35282,76892
Cas 3 gen 1960 ageLiq 64;0,674083298;13932,73521
Cas 3 gen 1980 ageLiq 64;0,617737;23609,68066
Cas 3 gen 1981 ageLiq 64;0,6130904;23845,8646
Cas 3 gen 1982 ageLiq 64;0,6087658;24084,88359
Cas 3 gen 1983 ageLiq 64;0,6041088;24325,39385
Cas 3 gen 1984 ageLiq 64;0,6000781;24569,55886
Cas 3 gen 1985 ageLiq 64;0,5963706;24816,1209
Cas 3 gen 1986 ageLiq 64;0,5929165;25064,69224
Cas 3 gen 1987 ageLiq 64;0,5893797;25315,89811
Cas 3 gen 1988 ageLiq 64;0,5860263;25569,8563
Cas 3 gen 1989 ageLiq 64;0,5831272;25826,64266
Cas 3 gen 1990 ageLiq 64;0,5803159;26085,76004
Cas 3 gen 1991 ageLiq 64;0,5782414;26347,8923
Cas 3 gen 1992 ageLiq 64;0,5762493;26612,44119
Cas 3 gen 1993 ageLiq 64;0,5743271;26879,59775
Cas 3 gen 1994 ageLiq 64;0,5727593;27149,38439
Cas 3 gen 1995 ageLiq 64;0,5716281;27421,79789
Cas 3 gen 1996 ageLiq 64;0,570715;27697,22428
Cas 3 gen 1997 ageLiq 64;0,5698094;27974,95766
Cas 3 gen 1998 ageLiq 64;0,5690523;28255,06758
Cas 3 gen 1999 ageLiq 64;0,5682829;28538,19807
Cas 3 gen 2000 ageLiq 64;0,5675254;28823,95352
